id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content
{V0Y6-C9BP34II-8313LIUD},01/04/2010 11:52:44,JNP1240,PC-4625,C:\58N6kz4\5Q3CV6SM.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 He is trapped by the Abbe Herrera (Vautrin) in a convoluted and disastrous plan to regain social status. Thus began a fifteen-year correspondence between Balzac and ""the object of [his] sweetest dreams"": Ewelina Hanska. The Turk began its European tour in 1783, beginning with an appearance in France in April. Carl Friedrich Hindenburg, a university mathematician, kept a record of the conversations during the Turk's time in Leipzig and published it in 1789 as Uber den Schachspieler des Herrn von Kempelen und dessen Nachbildung (or On the Chessplayer of Mr. von Kempelen And Its Replica)."
{A6D8-Q1GB06ZD-1234ZJCP},01/05/2010 09:35:33,GDH2500,PC-9355,R:\GDH2500\PHLLJ39W.zip,File Write,True,False,"50-4B-03-04-14 A meeting between the two teams in 2004 was watched by a crowd of 2,278, a record attendance for a league match at Invicta's ground. Dover Athletic continued to make improvements to the ground, although not in time to allow the club to take its place in the Football Conference in 1990. The shortest stay was Ian Hendon who was announced as manager on 28 May 2010 and resigned only 18 days later to join Andy Hessenthaler at Gillingham. In 1911, Trott became a selector for the Victorian team when Hugh Trumble resigned to take the secretaryship of the Melbourne Cricket Club. The ACC appointed Trott as one of the six players to select the touring team for England."
{M8H2-U0PI35AK-2330HIIN},01/06/2010 15:06:20,TGP1343,PC-6751,R:\C7RD7J34.pdf,File Write,True,False,"25-50-44-46-2D She later said, ""I only knew that, as I was being arrested, that it was the very last time that I would ever ride in humiliation of this kind&hellip;"" Parks then went on to a laboratory school set up by the Alabama State Teachers College for Negroes for secondary education but was forced to drop out to care for her grandmother, and later for her mother, after they became ill. Subsequently, two more Australians, Sir Paul Hasluck and Sir Ninian Stephen were appointed. At the founding of the Order of the Garter, 26 ""poor knights"" were appointed and attached to the Order and its chapel."
{G2L8-O1ZR03IQ-3564OODS},01/06/2010 14:49:23,MPB2578,PC-0946,C:\MPB2578\S1OFNPZI.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 It was briefly used as a connection for the parallel state highway after it opened. Since it opened, Brockway Mountain Drive has been recognized nationally and locally in several media outlets for its picturesque qualities, usually in profiles of Keweenaw County, the Upper Peninsula or other scenic drives. Brockway Mountain was named for David D. Brockway, one of the pioneer residents of the area. Out of all the main sub-camps of Mauthausen-Gusen only Gusen III was to be evacuated. The prisoners transferred to the ""Hospital Sub-camp"" received one piece of bread per 20 inmates and roughly half a litre of weed soup a day."
{I5M4-K7GE93GI-5613KSWV},01/06/2010 08:12:05,KCW3064,PC-7812,C:\TGSJLO30.pdf,File Open,False,False,"25-50-44-46-2D At the age of 14, he made his debut for St George, and in 1937-38 he was elevated to the second XI. In their last meeting at Test level in 1954-55, Morris scored 153. Morris was the batsman at the other end of the pitch in the Fifth Test at The Oval when Bradman was famously bowled by Eric Hollies for a duck in his final Test innings. Morris's XI won by 121 runs. Morris was named in the Australian Cricket Board's Team of the Century in 2000 and was inducted into the Australian Cricket Hall of Fame in 2001."
{K6M9-D1LG51JK-1592OLPA},01/04/2010 14:49:28,MJG2304,PC-8239,R:\MJG2304\T0HI81D5.txt,File Open,False,True,"54-38-4D-58 The landings on the islands were meant to deny their use by the Japanese as bases for threatening the supply routes between the U.S. and Australia, and to secure the islands as starting points for a campaign with the eventual goal of isolating the major Japanese base at Rabaul while also supporting the Allied New Guinea campaign. Twenty minutes later, the 16 Zuikaku torpedo planes arrived and split up to attack Enterprise. Bart also plays a role in The Simpsons Ride, launched in 2008 at Universal Studios Florida and Hollywood. Matt Groening generally did not object to bootleg merchandise, but took exception to a series of ""Nazi Bart"" shirts which depicted Bart in Nazi uniform or as a white power skinhead."
{M9V7-E4HU66OX-8690UMAH},01/07/2010 10:39:11,TIJ1817,PC-7726,C:\6LQF1FRL.pdf,File Open,False,False,"25-50-44-46-2D Edward Teller (Teller Ede; January 15, 1908 - September 9, 2003) was a Hungarian-American theoretical physicist, known colloquially as ""the father of the hydrogen bomb,"" even though he did not care for the title. He would later write in his memoirs that he had told a ""white lie"" in the 1955 article in order to ""soothe ruffled feelings"", and claimed full credit for the invention. Following the Soviet Union's first test detonation of an atomic bomb in 1949, President Truman announced a crash development program for a hydrogen bomb."
{T2W8-T2YN59XF-3008WHNR},01/06/2010 15:44:26,TAJ0193,PC-5775,R:\576zD29\CM6VZ4NK.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 Armed revolts against colonial rule occurred regularly, most notably through the Can Vuong movement of the late-1880s. Some argued in their own defence that they had been ""surprised and forced to take part in the insurrection"". This move violated a prior agreement between the member parties of the Viet Nam Cach Mang Dong Minh Hoi (Vietnamese Revolutionary League), which included the VNQDD as well as the Vietminh, and Ho was pressured to broaden his government's appeal by including the VNQDD (now led by Nguyen Tuong Tam). Vietnam was occupied by Japan during World War II and, in the chaos that followed the Japanese surrender in 1945, the VNQDD and the ICP briefly joined forces in the fight for Vietnamese independence. In a meeting on July 4, 1928, the Central Committee appealed for unity among the Vietnamese revolutionary movements, sending delegates to meet with other organisations struggling for independence."
{E4W3-J9GU93AA-5941SPDV},01/05/2010 09:49:54,MMC1084,PC-8112,R:\TI256PE8.doc,File Open,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Since the small dust particles partially corotate with the planet, they will move outward during the shadow pass creating an outward extension of the Thebe gossamer ring. In back-scattered light{Ref_label|B|b|none} the situation is different. The 2009 disaster film 2012 was inspired by the phenomenon, and advance promotion prior to its release included a stealth marketing campaign in which TV spots and websites from the fictional ""Institute for Human Continuity"" called on people to prepare for the end of the world. The phenomenon has also inspired successful pop music hits such as ""2012 (It Ain't the End)"" (2010) performed by Jay Sean and ""Till the World Ends"" (2011) performed by Britney Spears."
{S1P1-C5EG37AH-1765ZLXP},01/02/2010 13:44:33,ABP2917,PC-7947,R:\SH5KDAS8.zip,File Open,False,True,"50-4B-03-04-14 Zolak resides in Massachusetts with his wife Amy and his three children (Hadley, Samantha, and Brody). He did not play in 1991, but started a few games in 1992 and had his most productive season statistically. As a result of his football performance, he was invited to participate in the Big 33 Football Classic, which featured the top high school football players in Pennsylvania. When Zolak attended Ringgold High School himself, he was the team's starting quarterback and punter, and lettered four times. Upon drafting him, Patriots Vice President of Player Operations Joe Mendes agreed that his size and arm would translate to the NFL, and he was not worried about any accuracy issues."
{L4H8-O5NP93YV-1847NWFR},01/05/2010 13:47:26,CKP3600,PC-3088,R:\IGX45X6V.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 The photographer was intrigued with the variety of topics assigned by Vogel. Kertesz resented the constraints on his curiosity. Kertesz emigrated to Paris in September 1925, leaving behind his mother, his unofficial fiancee Elizabeth, both brothers, and his uncle Hoffman, who died shortly afterward. Unlike his older brother Imre, who worked at the exchange in Budapest for all his life, Kertesz had little interest in the field. Kertesz disliked this, so turned down the medal."
{C4T6-H3OL12RW-6100YNHH},01/05/2010 08:55:14,YNW2855,PC-0624,R:\493lzD8\QX2CCK8H.jpg,File Open,False,True,FF-D8 
{A8J9-E0WJ54SF-4321GBDH},01/07/2010 10:02:06,JSN0214,PC-0472,R:\JSN0214\2DO1ZR4C.doc,File Copy,True,False,"D0-CF-11-E0-A1-B1-1A-E1 In May 1932, following a mortgage foreclosure against the school, school officials were evicted and the property was sold. Scrip was a way of financing his mercantile without requiring operating capital. Tens of thousands of people came to Monte Ne during the 1920s to see its progress. The Iroquois claimed these captives as war spoils, since they were not part of the fort's garrison, and prepared to kill some of them in retaliation for their own losses. He wanted to mount a surprise attack the next morning; Hazen, who had acquired significant experience fighting Indians in the French and Indian War, argued against the idea."
{S2Q1-B2OQ10NL-0306AYHZ},01/06/2010 19:12:08,KPB1123,PC-2997,C:\8HZMDNOR.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 After answering questions from ""K-25"" shouted via loudspeaker, Siboney was allowed to resume her course. From that port the ship made monthly runs to the United Kingdom and back until May 1945, interrupting the pattern only once for a trip to Gibraltar and Marseilles. Paid off on 30 March 1922, Lion was sold for scrap on 31 January 1924 for ?77,000 to meet the tonnage limitations of the Washington Naval Treaty. This allowed the Grand Fleet to cross Scheer's T and they badly damaged his leading ships."
{K3O9-Y3IH75NH-9194IEFT},01/05/2010 12:01:54,BVB1673,PC-8134,R:\85V6967\QRWM9XOI.jpg,File Open,False,True,FF-D8 
{H4Q0-H6QT56QB-9023YTYT},01/06/2010 15:03:54,FCM2190,PC-3931,R:\E90UE6DL.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Terhune himself considered the novel ""hack writing"" and did not understand why it was so popular. As Terhune himself considered both authors to be unimpressive writers, he became determined that Lad: A Dog would be published. Only the size of a guinea pig, he spent the first 44 days of his life in an incubator before zookeeper Thomas Dorflein began raising the cub. He appeared on the 29 March 2007 cover of the German Vanity Fair magazine, which included a several page spread about the cub's life."
{N9M6-K5KZ16JA-0715BPGJ},01/06/2010 14:23:39,AYS1628,PC-6487,C:\AYS1628\65YLDN48.pdf,File Open,False,False,"25-50-44-46-2D Aware of the events in the upper delta region, Pho Duc Chinh fled and abandoned a planned attack on the Son Tay garrison, but he was captured a few days later by French authorities. In 1929, the VNQDD split when a faction led by Nguyen The Nghiep began to disobey party orders and was therefore expelled from the Central Committee."
{E8W1-T5QF44YN-3824PMIN},01/05/2010 14:06:58,AME1490,PC-1624,R:\AME1490\4BGSBZRD.doc,File Copy,True,False,"D0-CF-11-E0-A1-B1-1A-E1 Arnold, after considering for two days, disbanded his command, resigned his commission, and went home, having spent more than ?1,000 of his own money in the effort to capture the fort. In the winter of 1775-1776, Henry Knox directed the transportation of the guns of Ticonderoga to Boston. The following January he married Sarah Whetstone, daughter of Rear Admiral Sir William Whetstone, who was the Rogers' neighbour and a close family friend. He arrived three months later to find that a new governor had been appointed, and his company had been liquidated."
{Z7I7-F7AR99TS-2607FBEO},01/07/2010 10:04:54,VJB1928,PC-7171,R:\53fm8t2\J7JZDRLZ.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 In 1931, the Statute of Westminster formalised George's position as ""the symbol of the free association of the members of the British Commonwealth of Nations"". The Parliament Act 1911 established the supremacy of the elected House of Commons of the United Kingdom over the unelected House of Lords. Ralph Agas's 1578 map of Oxford shows the extent of the buildings at that time. William Stride, writing at about the same time as Hardy, said that the ""beautiful"" Jacobean interior of the chapel had been ""destroyed"", and Oxford had ""narrowly escaped other irreparable losses""."
{Q4X9-J0PL35UB-6371DEWE},01/04/2010 12:10:32,IAA3012,PC-0978,C:\PQRZZJYP.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 Interesting note from November 19,, 1941, ""It is only a question of a couple of weeks when we shall be in this whole mess and more likely from the Pacific Ocean rather than from Europe"" Arrived in States in September 1942. Despite being offered a contract by nearby Middlesbrough, the offer made by Dodgin was too attractive to turn down, so he signed for Fulham and moved to London, playing as a wing-half and inside-forward. At the end of the 2003-04 season, Newcastle United finished fifth in the table, five points short of the Champions League qualifying fourth place but reached the semi-finals of the UEFA Cup before losing to Marseille."
{W4K8-Z0LY03UM-0813AXCY},01/04/2010 12:39:20,CEC1352,PC-7905,R:\69Vr4C2\80XNYNUE.doc,File Open,False,True,"D0-CF-11-E0-A1-B1-1A-E1 In February 1983, he was identified as a ringleader in a disturbance in which inmates barricaded a cell block and started fires. In 2007, U.S. federal judge Tena Campbell rejected Gardner's appeal that his attorneys were inadequate because they were unable to prove that he did not mean to kill his victim. The execution of Gardner at Utah State Prison became the focus of media attention in June 2010, because it was the first to be carried out by firing squad in the United States in 14 years. Her sister, Carma Jolley Hainsworth, was sentenced to eight years in prison for delivering the clothes and messages in preparation for the escape attempt, but the identity of the person who provided Gardner with the firearm was not known at the time."
{W0E4-Q0CY91DO-7811OWUA},01/07/2010 08:05:42,HBD1371,PC-3924,R:\O52BYQIL.doc,File Copy,True,False,"D0-CF-11-E0-A1-B1-1A-E1 {Note_label|E|V|none} Geneticists studied human heredity as Mendelian inheritance, while eugenics movements sought to manage society, with a focus on social class in the United Kingdom, and on disability and ethnicity in the United States, leading to geneticists seeing this as impractical pseudoscience. {Note_label|C|III|none} See, for example, WILLA volume 4, Charlotte Perkins Gilman and the Feminization of Education by Deborah M. De Simone: ""Gilman shared many basic educational ideas with the generation of thinkers who matured during the period of ""intellectual chaos"" caused by Darwin's Origin of the Species. P. simplex has frequently been found in pellets of the Barn Owl (Tyto alba) and also in those of the Great Horned Owl (Bubo virginianus). In Argentina, it is mainly a species of the eastern Chaco and in Brazil it is found in the Cerrado and Caatinga."
{N3Q9-Z2LA49XP-1402WVZR},01/06/2010 15:32:00,GNC2237,PC-6077,R:\GNC2237\PQZKBK4P.pdf,File Copy,False,True,"25-50-44-46-2D Temperatures range from {convert|10|F|C} in the winter to {convert|100|F|C} in the summer. The Gray Wolf and the vulnerable Grizzly Bear once lived in the watershed, but are now considered extirpated. At the summit is another view area overlooking the Little Grand Canyon of the San Rafael River. The swell is noted for its sheer canyons and rock formations and is home to a large amount of exposed dinosaur remains."
{G9S5-K1FQ09BD-3063NCWL},01/06/2010 08:19:05,CEC1352,PC-7905,R:\CEC1352\VU5KOO8F.pdf,File Copy,False,True,25-50-44-46-2D Minnesota's climate has done much to shape the image of the state. The Great Flood of 1993 on the Mississippi River was caused by copious amounts of rain that fell after the spring snow melt.
{A4W6-Y5DH70MV-9807CBBH},01/05/2010 16:13:39,LCF1216,PC-4777,R:\36F53q6\S0QYAXND.doc,File Copy,True,False,"D0-CF-11-E0-A1-B1-1A-E1 This migration is called the Hijra and marked the beginning of Muhammad's reign as both a political as well as a religious leader. The death of Amr ibn Hashim, as well as many other Quraishi nobles gave Abu Sufyan the opportunity, almost by default, to become chief of the Quraish. After they descended from 'Aqanqal, the Meccans set up another camp inside the valley. However, the deal was repudiated by Congress, and no British prisoners were freed. Forster began to advance on Lachine, but decided to retreat back to Quinze-Chenes when his scouts notified him of Arnold's position."
{F6H6-M4VA38AA-7074MCEU},01/05/2010 18:15:04,TMC3659,PC-7374,R:\45f9m55\RQ2ZEGM6.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 This incited anger and triggered a backlash in rural Utah. The swell is noted for its sheer canyons and rock formations and is home to a large amount of exposed dinosaur remains. Between Fremont Junction and the junction of SR-24 near Green River, Interstate 70 crosses a geologic feature called the San Rafael Swell. In the late 1920s, Dartmouth president Ernest Martin Hopkins sought to unify the Tuck School by establishing a central campus, uniting the school's academic and residential facilities. Tuck has tried to address these shortcomings by offering additional scholarships to minority applicants and by promoting such programs as the annual Tuck Diversity Conference and participation in the Forte Foundation for women in business."
{Q9I0-S0ZB08UQ-2020TTNM},01/06/2010 10:16:15,HKH0204,PC-0050,R:\HKH0204\VH0JQAKO.exe,File Write,True,False,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 Before receiving his invitation to join the group, Giuseppe Piazzi discovered Ceres on 1 January 1801. Another possible protoplanet, Vesta, is less than half the size of Ceres; it suffered a major impact after solidifying, losing ~1% of its mass."
{L4Y0-N6LD92SA-0819KLTP},01/04/2010 11:42:06,BDR0510,PC-1197,R:\HN2TP9WH.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 General Carleton was given independent command of forces in Quebec and the northern frontier, while General William Howe was appointed Commander-in-Chief of forces along the Atlantic coast, an arrangement that had worked well between Generals Wolfe and Amherst in the French and Indian War. Because of its former significance, Fort Ticonderoga still had a high reputation as the ""gateway to the continent"" or the ""Gibraltar of America"", but in 1775 it was, according to historian Christopher Ward, ""more like a backwoods village than a fort."" The upper molars are triangular teeth bearing a number of distinct small cusps, particularly on the second upper molar, and with wrinkled enamel. All sites where fossils of Dermotherium have been found probably developed in forested environments and the fossil species probably were forest dwellers like living colugos, but whether they already had the gliding adaptations of the living species is unknown."
{F8A3-H2XT03BZ-8295MTHS},01/07/2010 09:38:04,LAF2213,PC-3090,R:\58Qh3D2\A30XIDK8.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 This incorporated the postponed attack on Carpiquet, originally planned for Epsom as Operation Ottawa but now codenamed Operation Windsor. During the 1980s, revisionist writers concentrated on the perceived deficiencies of the Allies' performance and from the late 1990s to the present, historians of the campaign in two schools of thought have been revising the revisionists, those attempting to expand on revisionist work by providing a more detailed campaign analysis and those who have attempted to demonstrate that the techniques employed by the Anglo-Canadian forces were appropriate to conditions in Normandy. He received instruction in verse speaking under famed theatre director William Bridges-Adams in the Stratford Festival Company at Stratford-upon-Avon, where he played some of his early Shakespeare roles, including Romeo in Romeo and Juliet, Ferdinand in The Tempest and Prince Hal in Henry IV in 1926. He earned a scholarship to the Royal Academy of Dramatic Art in Bloomsbury, London."
{J1U9-U9XF24OT-2522USGX},01/06/2010 17:49:15,NVH3726,PC-9808,R:\21N99Y6\9M14QYHX.pdf,File Write,True,False,"25-50-44-46-2D An unnamed journalist wrote in The Times in 1959 that the main buildings of the quadrangles were ""somewhat oddly wedded to small basins which irresistibly suggest a Lilliputian Versailles"". Reaction to the architecture of the college has been largely unfavourable. Many other Oxford colleges are roofed with Stonesfield slate from a quarry {convert|10|mi|km} northwest of Oxford, but these were no longer available when Nuffield was built. The other major beneficiary of the Battle of Badr was Abu Sufyan. The next day Muhammad ordered a forced march to Badr and arrived before the Meccans."
{Z6H3-P5OS64JW-4107OMPA},01/06/2010 13:15:04,ADG1737,PC-1196,R:\53B4417\P9TJ3FU2.zip,File Write,True,False,"50-4B-03-04-14 His paternal grandfather was Du Shenyan, a noted politician and poet during the reign of Empress Wu. It was not until the 17th century that he was accorded the same level of fame in Japan as in China, but he then had a profound influence on poets such as Matsuo Basho."
{U1N0-H3NE00VU-9669BPIU},01/05/2010 14:37:46,SAM3855,PC-2428,R:\SAM3855\K7OAG1XU.jpg,File Open,False,True,FF-D8 
{O0O0-F5KT34VS-9801XOVS},01/04/2010 17:30:30,DGQ3744,PC-0311,R:\55K4bq4\RHNFXPZE.doc,File Open,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Unlike many racing games, which restrict the player to a race track, Midtown Madness offers an open world recreation of Chicago. To unlock the other cars, players must achieve goals such as winning a certain number of races. After agreeing, Angel Studios chose Chicago for the setting because it is the site of several famous car chases, such as those in the film The Blues Brothers."
{T0K9-S7IR39ZM-3605UIGK},01/03/2010 12:46:11,LAF2213,PC-3090,R:\QM8NE156.txt,File Delete,False,True,"52-53-52-55 There were also tribes that followed Judaism, Christianity (including Nestorianism),and Zoroastrianism. Both facts suggest the Quraish lacked the time to prepare for a proper campaign in their haste to protect the caravan. After his brother's death, Poe began more earnest attempts to start his career as a writer. Poe failed to show up for a meeting with Thomas to discuss the appointment in mid-September 1842, claiming to be sick, though Thomas believed he was drunk."
{I2E3-X4TG44BY-5701HGOU},01/06/2010 15:10:20,QIS2940,PC-7622,R:\15TCBp0\SASEL2R0.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Konig then went into Wilhelmshaven for maintenance on 16 June. To retain a better bargaining position for Germany, Admirals Hipper and Scheer intended to inflict as much damage as possible on the British navy, whatever the cost to the fleet."
{E8X2-V0TF90AR-9997MORR},01/07/2010 11:19:55,DNM0275,PC-4453,R:\96Hj5z2\CD5RBU7D.doc,File Copy,True,False,"D0-CF-11-E0-A1-B1-1A-E1 When the word reached the Muslim army about the departure of the Meccan army, Muhammad immediately called a council of war, since there was still time to retreat and because many of the fighters there were recent converts (called Ansar or ""Helpers"" to distinguish them from the Quraishi Muslims), who had only pledged to defend Medina. Abu Jahl wanted to continue, but several of the clans present, including Banu Zuhrah and Banu Adi, promptly went home."
{Z2M1-M1FC40XH-7006FUPR},01/06/2010 09:12:56,LLT0291,PC-1250,R:\8SGY1TAP.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 A designated ancient woodland lies to the north-west of the village. The area was also described in a paper in Archaeologia Cantiana, 1961, as ""Wormshill, an ancient possession of the Kings of Kent, the hill where they worshipped the heathen Woden"". Production of the cement was by the <For> company of which Gorodetsky was the co-director. During the time of the restoration, conducted by UkrNIIProektRestavratsiya and headed by Natalia Kosenko, the workers unearthed the whole lower floor, which had been filled in during Soviet times to strengthen the building's foundation."
{D7E4-Y9QW40XY-5554YAJX},01/04/2010 12:12:57,HDN2609,PC-8185,R:\228PC49\ZZHX7CB3.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 The initial fear was that the Meccan army might rally and that the Muslims couldn't spare any men to guard the prisoners. 'Ali alone accounted for 18 of the dead Meccans. Now he gave the order to charge, throwing a handful of pebbles at the Meccans in what was probably a traditional Arabian gesture while yelling ""Defaced be those faces!"" However, Colvin thought that the chapel design was better suited to Mediterranean sunlight than Oxford gloom. As the site was away from the ""ancient colleges"" of the city centre and in an area of ""undistinguished nineteenth century commercial building"", there had been a ""rare opportunity"" of building something ""belonging ... to the twentieth century, and of showing that Oxford does not live only in the past""."
{K5B8-D5ER26OF-0511ZUSP},01/06/2010 14:14:55,MBR3648,PC-6526,R:\MBR3648\01PWYT5E.jpg,File Delete,False,True,FF-D8 
{C2J6-C6CS03QP-0999TROA},01/04/2010 12:51:47,SIS3576,PC-7467,R:\26F91T6\DQ3K6H1I.doc,File Open,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Before the arrival of Voyager 2, no measurements of the Uranian magnetosphere had been taken, so its nature remained a mystery. The tracking of numerous cloud features allowed determination of zonal winds blowing in the upper troposphere of Uranus. Neptune, which is Uranus's near twin in size and composition, radiates 2.61 times as much energy into space as it receives from the Sun. The lowest temperature recorded in Uranus's tropopause is 49 K (-224 ?C), making Uranus the coldest planet in the Solar System."
